Row.names	SYMBOL	GENENAME	logFC	AveExpr	t	P.Value	adj.P.Val
17112656	NOX1	NADPH oxidase 1	6.29056066666667	8.2479424	16.6589350789105	1.61151047586989e-15	5.17294862754234e-13
16967853	AREG	amphiregulin	2.95740333333333	8.79935	16.3716548253344	2.45199468060695e-15	7.69791604728131e-13
17079210	GEM	GTP binding protein overexpressed in skeletal muscle	2.00926033333333	6.1885872	16.1919685306378	3.19805717743061e-15	9.82422532279733e-13
16907044	SATB2	SATB homeobox 2	2.92457433333333	8.3292396	16.1623925744208	3.34176930913876e-15	1.00495797255564e-12
16807511	PPP1R14D	protein phosphatase 1, regulatory (inhibitor) subunit 14D	3.56965566666667	7.2916584	16.0591928395229	3.89775271803012e-15	1.13288129326253e-12
17081323	LRRC6	leucine rich repeat containing 6	2.33826833333333	6.530354	16.0544036952726	3.92576737138124e-15	1.13288129326253e-12
16686832	FOXD2-AS1	FOXD2 antisense RNA 1 (head to head)	1.41138133333333	7.5351348	15.8677202101293	5.19711230421096e-15	1.48476301419003e-12
16719506	CLRN3	clarin 3	4.675265	7.320414	15.7336305089797	6.36795975301264e-15	1.74929079022902e-12
16841778	LRRC75A	leucine rich repeat containing 75A	1.796199	8.3263864	15.7218617668625	6.48297008907838e-15	1.76392354737981e-12
17013664	PPP1R14C	protein phosphatase 1, regulatory (inhibitor) subunit 14C	2.631384	5.8869744	15.712979774394	6.57119047069853e-15	1.77105981657911e-12
17059323	SEMA3A	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A	3.16474733333333	7.9250284	15.4542034092015	9.76928323327903e-15	2.48568202175455e-12
16660757	GRHL3	grainyhead-like transcription factor 3	2.00777066666667	6.8153244	15.4250518925002	1.02190264139686e-14	2.53867274452756e-12
16754111	KCNMB4	potassium channel subfamily M regulatory beta subunit 4	2.40840766666666	7.1091276	15.3475939238518	1.1521058666265e-14	2.82301212263198e-12
16967863	AREG	amphiregulin	3.20298233333333	9.0838164	15.3067762308973	1.22750602005883e-14	2.94694281403872e-12
16913369	TLDC2	TBC/LysM-associated domain containing 2	3.179256	7.0290356	15.2685954988241	1.30265629061908e-14	3.10129896389137e-12
16976074	CLOCK	clock circadian regulator	1.03238999999999	10.720622	15.2433041311269	1.3550420870389e-14	3.19935515575325e-12
16716327	RNLS	renalase, FAD-dependent amine oxidase	2.88130133333333	7.5465568	15.228255908838	1.38724025363018e-14	3.24853006606234e-12
16969495	NPNT	nephronectin	4.05273266666666	7.8108396	14.9605987329842	2.11309857978658e-14	4.79119947031133e-12
16856232	FSTL3	follistatin-like 3 (secreted glycoprotein)	1.760959	8.1885364	14.9278514827038	2.22566623671286e-14	4.96758271223825e-12
16703452	PDSS1	prenyl (decaprenyl) diphosphate synthase, subunit 1	1.948486	7.5239776	14.8914767456418	2.35799767276564e-14	5.14380495884176e-12
16814366	MSLN	mesothelin	3.63290233333333	9.2745764	14.7137805526094	3.13172600643162e-14	6.62742816872186e-12
16689869	F3	coagulation factor III (thromboplastin, tissue factor)	3.145102	9.8341812	14.6505683067352	3.46663951774209e-14	7.1766974190126e-12
16800962	SLC27A2	solute carrier family 27 (fatty acid transporter), member 2	2.71495633333333	9.1377908	14.5716790348008	3.93720660146469e-14	7.9597750287079e-12
16761745	GUCY2C	guanylate cyclase 2C	4.54715066666666	6.7834964	14.5686803539656	3.9563444785485e-14	7.9597750287079e-12
16667000	LRRC8D	leucine rich repeat containing 8 family, member D	1.24291166666667	6.691756	14.4964409310002	4.44763682395927e-14	8.82392614053419e-12
16723680	LDLRAD3	low density lipoprotein receptor class A domain containing 3	1.72336833333333	6.79819	14.4893784548137	4.49893682602085e-14	8.86414663328205e-12
16662317	GJB4	gap junction protein, beta 4, 30.3kDa	2.12137133333333	6.9418928	14.3613791954675	5.54254027918371e-14	1.06989752186486e-11
17010354	CD109	CD109 molecule	3.93410933333333	6.8714256	14.2798482095629	6.33500720554811e-14	1.20656547236869e-11
16683264	HTR1D	5-hydroxytryptamine (serotonin) receptor 1D, G protein-coupled	3.44400733333333	6.3655964	14.2379382561276	6.78705862141406e-14	1.28410250168992e-11
16718696	HSPA12A	heat shock 70kDa protein 12A	1.611677	6.6913332	14.2078113298476	7.13251018560828e-14	1.33753441887238e-11
17026159	TRIM15	tripartite motif containing 15	2.15798433333333	8.0962096	14.1246952406489	8.18296263204492e-14	1.49858371432623e-11
17035100	TRIM15	tripartite motif containing 15	2.159445	8.096914	14.1028996765261	8.48403525052229e-14	1.52440505076837e-11
17027400	TRIM15	tripartite motif containing 15	2.16758033333332	7.9657772	14.0234522620481	9.68190402168989e-14	1.71802680742645e-11
16885347	MYO7B	myosin VIIB	2.873669	7.2951644	13.9717075117762	1.0554895257064e-13	1.86137532468557e-11
16986777	RASGRF2	Ras protein-specific guanine nucleotide-releasing factor 2	3.39664766666667	6.7450176	13.9510004548222	1.09266704292523e-13	1.89381035772075e-11
16723662	FJX1	four jointed box 1	2.06126833333333	6.502872	13.9477263264136	1.09866813738275e-13	1.89381035772075e-11
16846283	HOXB8	homeobox B8	2.23000033333333	7.4205812	13.9431968878121	1.10702625131914e-13	1.89381035772075e-11
16844497	KRT20	keratin 20, type I	5.45959266666666	9.4066456	13.8828788022241	1.22480712301972e-13	2.04628740921347e-11
17057478	IGFBP3	insulin-like growth factor binding protein 3	2.10016266666666	8.2024236	13.8518341851625	1.2904003625266e-13	2.1433399975013e-11
17006207	TRIM15	tripartite motif containing 15	2.04650066666666	7.9935544	13.7852136770111	1.44369969027297e-13	2.33022917804568e-11
17050455	FOXP2	forkhead box P2	2.16427433333333	5.9078016	13.7692501508184	1.48315199029103e-13	2.38045894441711e-11
16822928	NOXO1	NADPH oxidase organizer 1	1.59936233333333	7.8470744	13.726393023091	1.59467286168601e-13	2.51702812074628e-11
16768675	FGD6	FYVE, RhoGEF and PH domain containing 6	1.57162066666666	8.4343524	13.7019832239354	1.66202825548251e-13	2.60892775993846e-11
16905056	METTL8	methyltransferase like 8	1.19198033333333	6.8829932	13.6571206589339	1.79359023907511e-13	2.78484127935526e-11
16775763	MIR622	microRNA 622	1.75035	9.861542	13.5938208325966	1.99777287797716e-13	3.06851469628654e-11
17001404	SH3TC2	SH3 domain and tetratricopeptide repeats 2	1.551661	7.0312636	13.497328394118	2.35635809019807e-13	3.50618720202442e-11
16660360	CDA	cytidine deaminase	3.94620366666666	7.9931312	13.4458931635254	2.57405084064459e-13	3.75194175848854e-11
16676720	C4BPB	complement component 4 binding protein, beta	3.00354566666667	6.4685724	13.4238957666552	2.67339576662655e-13	3.87696668308396e-11
16707120	STAMBPL1	STAM binding protein-like 1	1.85451866666666	8.5133572	13.4152917019994	2.71332324017848e-13	3.89532319842507e-11
17119668	MIR196B,HOXA9	microRNA 196b,homeobox A9	2.690109	6.2906084	13.4119862101341	2.72882576998126e-13	3.8965540925296e-11
17066197	NAT2	N-acetyltransferase 2 (arylamine N-acetyltransferase)	1.89055733333333	5.4188324	13.3535852879477	3.01833108051159e-13	4.24781776547466e-11
16682016	AGMAT	agmatine ureohydrolase (agmatinase)	2.920152	8.0396712	13.1467849602999	4.3251258419971e-13	5.91217799904379e-11
17062985	PODXL	podocalyxin-like	1.29326433333333	7.8353796	13.1189487354304	4.54117528763504e-13	6.1196621128512e-11
16877463	VSNL1	visinin-like 1	1.58869333333333	5.49288	13.1096400487899	4.61588532910308e-13	6.19113746324629e-11
16970404	FGF2	fibroblast growth factor 2 (basic)	4.179429	7.6953024	13.086119464999	4.81036511755938e-13	6.3623759742386e-11
17047777	GNAI1	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 1	1.152038	7.5271968	13.0806015411594	4.85720295455745e-13	6.39472033220054e-11
16828897	C16orf74	chromosome 16 open reading frame 74	1.69501533333333	7.8645452	13.077316414922	4.88531146635146e-13	6.40222308633921e-11
17005169	KDM1B	lysine (K)-specific demethylase 1B	1.68374766666666	8.9794436	12.8595288111556	7.1792439852948e-13	9.0753903281366e-11
16678886	SLC35F3	solute carrier family 35, member F3	1.334109	7.0797724	12.8552661609958	7.23388768262841e-13	9.10418225572735e-11
16877097	ATP6V1C2	ATPase, H+ transporting, lysosomal 42kDa, V1 subunit C2	2.20131866666666	7.1881892	12.8278563517186	7.59566876389436e-13	9.51757284717973e-11
16953384	CCDC51	coiled-coil domain containing 51	1.096404	7.4564104	12.7965517633603	8.03179465947507e-13	9.9765365924584e-11
17050591	MET	MET proto-oncogene, receptor tyrosine kinase	1.57891566666667	11.2342864	12.6196034671001	1.10328586050502e-12	1.33558363342237e-10
16740630	FOSL1	FOS-like antigen 1	2.46431	8.602338	12.5912378479932	1.16123729040529e-12	1.39392387183146e-10
17118754	CAMK1D	calcium/calmodulin-dependent protein kinase ID	2.165799	5.8790604	12.5430519243104	1.26698800044814e-12	1.4921877081037e-10
16854046	CEP76	centrosomal protein 76kDa	1.53962533333333	8.0529332	12.3890953071228	1.67656040406859e-12	1.92360056963195e-10
16705011	DKK1	dickkopf WNT signaling pathway inhibitor 1	4.36215433333333	9.7404416	12.3482236837131	1.80674156804958e-12	2.06467199430434e-10
17079187	CDH17	cadherin 17, LI cadherin (liver-intestine)	7.135394	9.7124604	12.3182683921338	1.90874393983124e-12	2.16392482607297e-10
16796094	ITPK1	inositol-tetrakisphosphate 1-kinase	1.21138066666666	9.2157484	12.3060240771744	1.95213143924924e-12	2.19580783368317e-10
16888865	GLS	glutaminase	1.04533966666666	9.2556788	12.3059940436103	1.95223910446822e-12	2.19580783368317e-10
16855184	ACAA2	acetyl-CoA acyltransferase 2	1.72579699999999	9.6124392	12.2466360412761	2.17747401754928e-12	2.41117268245602e-10
16977058	CXCL11	chemokine (C-X-C motif) ligand 11	3.98651066666666	7.7052084	12.2257094067994	2.26313241082424e-12	2.48674730172453e-10
17010760	NT5E	5'-nucleotidase, ecto (CD73)	2.365788	7.8978628	12.2009018137196	2.36919659211055e-12	2.55975856183775e-10
16956714	DCBLD2	discoidin, CUB and LCCL domain containing 2	1.67263866666666	10.4020832	12.1987761695391	2.37852003269128e-12	2.55975856183775e-10
16947401	MLF1	myeloid leukemia factor 1	2.205484	6.3900304	12.1985175609482	2.37965691396679e-12	2.55975856183775e-10
17059119	SEMA3C	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C	2.032423	8.1989408	12.1976811350408	2.38333780478435e-12	2.55975856183775e-10
17104082	APEX2	APEX nuclease (apurinic/apyrimidinic endonuclease) 2	1.23220666666666	9.106876	12.1829537931319	2.44911995922598e-12	2.61078015354952e-10
17065219	KBTBD11	kelch repeat and BTB (POZ) domain containing 11	1.498032	6.4098372	12.1189599108676	2.75745437921136e-12	2.89623949116505e-10
17109680	MAP7D2	MAP7 domain containing 2	1.80194866666667	6.6226212	12.1145430633597	2.78016032634302e-12	2.89877373588664e-10
16749583	FAR2	fatty acyl CoA reductase 2	2.39041633333333	8.7375648	12.0830656165891	2.94766534209977e-12	3.05115402748001e-10
16707567	FFAR4	free fatty acid receptor 4	3.79717399999999	9.5319224	12.069241726921	3.024485355913e-12	3.10772871398128e-10
16660596	EPHB2	EPH receptor B2	2.25219666666666	8.712494	12.0669090613559	3.03765032682436e-12	3.10772871398128e-10
17100420	NRARP	NOTCH-regulated ankyrin repeat protein	1.40882166666666	9.483708	12.0622844595572	3.06392543298999e-12	3.10772871398128e-10
16854316	OSBPL1A	oxysterol binding protein-like 1A	1.14775033333333	8.5704772	12.0600546524594	3.07667794035765e-12	3.10772871398128e-10
17002429	ATP10B	ATPase, class V, type 10B	3.45799933333333	9.5250756	12.0578606688815	3.08927900711771e-12	3.10772871398128e-10
16748590	EMP1	epithelial membrane protein 1	2.91347633333333	9.3323348	11.9378308873248	3.86650391021079e-12	3.80903966244179e-10
17078355	JPH1	junctophilin 1	2.153958	8.1128268	11.8817688590852	4.29610640016849e-12	4.16052419479368e-10
16846864	MMD	monocyte to macrophage differentiation-associated	1.68931566666666	8.8491804	11.8399865841853	4.64809413458151e-12	4.39706626923374e-10
16958251	MYLK	myosin light chain kinase	1.63801333333333	5.79816	11.8278554921115	4.75576380257573e-12	4.4401116364636e-10
16722081	MICAL2	microtubule associated monooxygenase, calponin and LIM domain containing 2	1.13804833333333	6.724086	11.8008762844811	5.00453742624537e-12	4.60126295320305e-10
16667094	EPHX4	epoxide hydrolase 4	1.841655	7.42869	11.8007724296144	5.00552056639674e-12	4.60126295320305e-10
16695974	GPA33	glycoprotein A33 (transmembrane)	4.59084433333333	9.4541396	11.7908722777403	5.10016053778548e-12	4.67007969243568e-10
16716590	MYOF	myoferlin	1.21871466666667	11.7702688	11.7624409003931	5.38234159452564e-12	4.89707379025488e-10
17022035	ASCC3	activating signal cointegrator 1 complex subunit 3	1.09661066666667	9.1998124	11.7563221214982	5.4451473383625e-12	4.93848934316439e-10
16966459	GUF1	GUF1 homolog, GTPase	1.05023233333333	9.6459564	11.7256229231355	5.77185850413975e-12	5.15557274486787e-10
17092992	LRRC19	leucine rich repeat containing 19	4.21816666666667	5.893464	11.7237186589157	5.79277836502008e-12	5.15557274486787e-10
16717235	AVPI1	arginine vasopressin-induced 1	1.14041833333333	9.64541	11.692588515357	6.14607543310041e-12	5.39376474824308e-10
17106895	UTP14A	UTP14, U3 small nucleolar ribonucleoprotein, homolog A (yeast)	1.182362	7.6246972	11.6902109405499	6.17395573259411e-12	5.39399820564162e-10
16710548	PTPRE	protein tyrosine phosphatase, receptor type, E	1.01644866666666	7.0211652	11.6869576398546	6.21231654138587e-12	5.410965587526e-10
17081297	OC90	otoconin 90	2.43884199999999	8.9212552	11.6819491405256	6.27185453604554e-12	5.42977151691041e-10
16914171	PI3	peptidase inhibitor 3, skin-derived	3.71540333333333	10.541614	11.6460850384121	6.71574278046389e-12	5.71018022306764e-10
16987125	POLR3G	polymerase (RNA) III (DNA directed) polypeptide G (32kD)	2.80688433333333	6.5940076	11.5805422030297	7.61256607239372e-12	6.37118927404991e-10
16691314	TSPAN2	tetraspanin 2	3.02718733333333	7.2298064	11.5791903622907	7.63231130831319e-12	6.37118927404991e-10
17120124	LINC01057	long intergenic non-protein coding RNA 1057	1.267156	7.0987516	11.5749829648781	7.69410387830719e-12	6.38990853777204e-10
16856249	MISP	mitotic spindle positioning	1.78200933333333	9.5685216	11.4750426591485	9.32392623521926e-12	7.56747865380623e-10
16752659	RBMS2	RNA binding motif, single stranded interacting protein 2	1.07549066666666	10.3307184	11.4251178451604	1.02675481032763e-11	8.23970735287926e-10
17107919	ZNF185	zinc finger protein 185 (LIM domain)	1.668649	8.0039424	11.4080885317118	1.06114866547999e-11	8.46814419667537e-10
17097052	TXN	thioredoxin	1.08297366666666	11.1061712	11.3857192496864	1.10814042789517e-11	8.76965758574437e-10
17067031	DOCK5	dedicator of cytokinesis 5	1.10125966666667	9.8414388	11.3827762792357	1.11448053360597e-11	8.79546805651631e-10
16884200	SOWAHC	sosondowah ankyrin repeat domain family member C	1.25407266666666	7.4142976	11.3720149678806	1.13798391797202e-11	8.95621557921284e-10
16809971	MYO1E	myosin IE	1.06578633333333	9.5803748	11.321563039038	1.25518059742132e-11	9.74436263253524e-10
16986409	F2R	coagulation factor II (thrombin) receptor	1.84868166666666	7.41842	11.2900400879587	1.33465603081626e-11	1.0277570928407e-09
17088006	PALM2-AKAP2,PALM2,AKAP2	PALM2-AKAP2 readthrough,paralemmin 2,A kinase (PRKA) anchor protein 2	1.10817033333333	5.4878932	11.2769051179413	1.36928576609224e-11	1.05158938310455e-09
17118868	MIR614,GPRC5A	microRNA 614,G protein-coupled receptor, class C, group 5, member A	1.03816166666666	11.964496	11.2638131252171	1.40472426570355e-11	1.07591333905857e-09
17027618	MIR4640,DDR1	microRNA 4640,discoidin domain receptor tyrosine kinase 1	1.21324433333333	7.3608436	11.2281319274066	1.50618727724618e-11	1.14138632158213e-09
16689888	LINC01057	long intergenic non-protein coding RNA 1057	1.22799633333333	6.6332328	11.2154196443895	1.54413515289485e-11	1.16090518902771e-09
16919466	ADA	adenosine deaminase	1.06961799999999	7.4509768	11.1845773029434	1.64035364552624e-11	1.22358389814723e-09
17077128	FAM150A	family with sequence similarity 150, member A	1.94660433333333	6.8511036	11.1704513720651	1.68646453534948e-11	1.24820221011397e-09
17114489	MAP7D3	MAP7 domain containing 3	1.33170533333333	7.6253912	11.1592362874399	1.72402357774351e-11	1.2581865213306e-09
16988921	LYRM7	LYR motif containing 7	1.21728166666666	6.816774	11.1439132523174	1.77673817219012e-11	1.28087024949599e-09
16852812	SERPINB5	serpin peptidase inhibitor, clade B (ovalbumin), member 5	4.239404	9.0843904	11.1132275414101	1.88735535667332e-11	1.3446347926384e-09
16689828	ARHGAP29	Rho GTPase activating protein 29	1.64969366666666	8.3048172	11.1109624332978	1.89579687153169e-11	1.34728907519375e-09
16831383	ADORA2B	adenosine A2b receptor	1.817161	10.4478556	11.1065964480361	1.91217777504485e-11	1.35555848276071e-09
17012281	TPD52L1	tumor protein D52-like 1	1.17102766666666	6.2832836	11.0445159295002	2.16153841456526e-11	1.5061705113589e-09
16977251	ANTXR2	anthrax toxin receptor 2	1.30588033333333	9.7257932	11.027184256775	2.23697069894809e-11	1.54593842896559e-09
16847760	ICAM2	intercellular adhesion molecule 2	1.56436933333333	8.1981636	11.0074948336427	2.32596371882393e-11	1.59736676642021e-09
16983373	FAM105A	family with sequence similarity 105, member A	2.76340833333333	7.430444	10.9776606587883	2.46781768543142e-11	1.68566966403411e-09
17115505	FLNA	filamin A, alpha	1.68418866666666	10.0570352	10.9763923484913	2.4740420511443e-11	1.68566966403411e-09
17076251	LOC157860	uncharacterized LOC157860	3.239738	7.3859168	10.9627828119475	2.54185900124133e-11	1.71674633112207e-09
17113418	AMOT	angiomotin	1.35746666666666	8.441964	10.9437884226506	2.63972496987923e-11	1.76614291954285e-09
17015975	TPMT	thiopurine S-methyltransferase	1.57173933333333	10.3058976	10.9110148219997	2.81781273555963e-11	1.87214167540007e-09
16744415	IL18	interleukin 18	1.741637	8.4905252	10.8907013560758	2.9343630105342e-11	1.93160868313252e-09
16816178	MPV17L	MPV17 mitochondrial membrane protein-like	1.82759066666666	8.5290904	10.8823745703309	2.98356304243391e-11	1.9505128732104e-09
16662322	GJB3	gap junction protein, beta 3, 31kDa	2.60096766666666	8.9664276	10.8729958690194	3.0399971518977e-11	1.97385633255831e-09
16815355	IL32	interleukin 32	1.75714933333333	6.8154656	10.8699674693931	3.0584537205115e-11	1.98107237470289e-09
16880057	CHAC2	ChaC, cation transport regulator homolog 2 (E. coli)	1.07436166666666	7.84905	10.8689012073683	3.06497948692175e-11	1.98107237470289e-09
16852226	RNF165	ring finger protein 165	1.25537333333333	5.879158	10.8569833846781	3.13890278796062e-11	2.01517558987072e-09
17056137	HOXA5	homeobox A5	2.49916766666666	7.0519556	10.7721179057554	3.72130252812894e-11	2.31117156361121e-09
16732676	UBASH3B	ubiquitin associated and SH3 domain containing B	1.94056666666666	8.32359	10.768789876837	3.74628938980193e-11	2.32164298432216e-09
16777675	CDX2	caudal type homeobox 2	2.65381999999999	7.844754	10.7547577290918	3.85355774031656e-11	2.37267868713586e-09
16900875	MGAT4A	mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme A	1.458342	8.6542652	10.7219638232209	4.11676111459656e-11	2.5130715445066e-09
16860545	NUDT19	nudix (nucleoside diphosphate linked moiety X)-type motif 19	1.65352066666667	9.0942264	10.6895352064335	4.39526776460355e-11	2.67166818653104e-09
17086871	WNK2	WNK lysine deficient protein kinase 2	1.146726	7.0190056	10.6821339976239	4.46150733778535e-11	2.70617416418661e-09
17097643	TNFSF15	tumor necrosis factor (ligand) superfamily, member 15	1.56936499999999	8.78032	10.6694269826533	4.57764048611256e-11	2.77073328490995e-09
17015277	RPP40	ribonuclease P/MRP 40kDa subunit	1.05225733333333	7.0190664	10.6579885709993	4.68484104119621e-11	2.81474662773171e-09
16991047	CDX1	caudal type homeobox 1	1.81049466666666	7.9192028	10.6315171979131	4.94295785760113e-11	2.94812866458887e-09
16816386	TMC7	transmembrane channel-like 7	2.19394733333333	8.7580784	10.6088037785027	5.17609024796797e-11	3.06160915722975e-09
16661730	PTPRU	protein tyrosine phosphatase, receptor type, U	1.24070333333333	8.345852	10.5935917949156	5.33853141623019e-11	3.13819967140495e-09
16698466	NUAK2	NUAK family, SNF1-like kinase, 2	1.27025066666666	7.3701944	10.5491850029942	5.84342471279463e-11	3.39425066523275e-09
17054276	ADAP1,COX19	ArfGAP with dual PH domains 1,COX19 cytochrome c oxidase assembly factor	1.09073733333333	8.5538064	10.5447724568995	5.89620898612587e-11	3.40989462600466e-09
17024198	NHSL1	NHS-like 1	1.06831866666666	7.8173352	10.5289880588423	6.08907950946657e-11	3.50243425480231e-09
16859205	UCA1	urothelial cancer associated 1 (non-protein coding)	4.23968366666666	10.9789352	10.5283256032627	6.09731468828566e-11	3.50243425480231e-09
16747004	TIGAR	TP53 induced glycolysis regulatory phosphatase	1.49092866666666	8.5761412	10.4957293749184	6.51702147561498e-11	3.70148680987762e-09
17056143	HOXA6	homeobox A6	1.44440833333333	6.183766	10.4890673436628	6.60639999452883e-11	3.73739091967711e-09
16706238	ADK	adenosine kinase	1.03352799999999	10.8739008	10.457410486837	7.0486783427222e-11	3.91777610064651e-09
17049607	MUC3A,MUC3B	mucin 3A, cell surface associated,mucin 3B, cell surface associated	2.72941666666666	7.49284	10.4563740979944	7.06366253483549e-11	3.9184810671401e-09
17013677	IYD	iodotyrosine deiodinase	1.33558133333333	5.5756048	10.3998231417402	7.93304592661863e-11	4.3384022914187e-09
16745414	TRIM29	tripartite motif containing 29	2.24504166666666	6.056534	10.3668069378947	8.49082993900771e-11	4.59006493543251e-09
16722299	PDE3B	phosphodiesterase 3B, cGMP-inhibited	2.45718566666666	5.9455504	10.3045552444206	9.65496437276221e-11	5.12700143430192e-09
17071412	SPAG1	sperm associated antigen 1	1.17641866666666	7.5813572	10.2689150972426	1.03942095133833e-10	5.42874171092957e-09
16676764	CD55	CD55 molecule, decay accelerating factor for complement (Cromer blood group)	1.11688166666666	10.672386	10.2633266593522	1.05153018230009e-10	5.48196455805317e-09
16852871	SERPINB2	serpin peptidase inhibitor, clade B (ovalbumin), member 2	3.46970666666666	8.654386	10.2443672378191	1.09370481559421e-10	5.67078999577332e-09
17059491	ABCB1	ATP-binding cassette, sub-family B (MDR/TAP), member 1	2.986419	7.0795984	10.2395896183839	1.10460449469544e-10	5.70659056219784e-09
16877332	FAM84A	family with sequence similarity 84, member A	2.17607766666666	8.0484976	10.2290240891687	1.12910742676401e-10	5.81215677031008e-09
16890891	VIL1	villin 1	3.80377833333333	10.349866	10.2238288570734	1.14136032177845e-10	5.86466241598715e-09
17090296	ASS1	argininosuccinate synthase 1	2.16833833333333	11.168172	10.2154875790378	1.16132004844739e-10	5.93592470777096e-09
